lat_diff,lon,tag,error,lat,type,lon_diff
0.009948999999998875,-79.3837788,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6134510,node,0.10227880000000766
0.009916999999994403,-79.3832891,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6134830,node,0.10178910000000485
0.009642799999994622,-79.3833915,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6137572,node,0.1018915000000078
0.009656599999999571,-79.3835528,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6137434,node,0.10205280000000982
0.008767499999997597,-79.3845355,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6146325,node,0.10303550000000428
0.008284799999998427,-79.3846725,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6151152,node,0.10317249999999945
0.007743499999996573,-79.3838924,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6156565,node,0.10239239999999938
0.0072996999999972445,-79.3844766,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6161003,node,0.10297660000000519
0.006996999999998366,-79.3848025,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6164030,node,0.10330250000001229
0.007071099999997443,-79.3852631,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6163289,node,0.10376310000000899
0.006745599999995022,-79.3866911,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6166544,node,0.10519109999999898
0.006261899999998377,-79.3888328,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6171381,node,0.10733280000000889
0.004999199999993209,-79.3893702,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6184008,node,0.1078702000000078
0.002785599999995725,-79.3894363,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6206144,node,0.10793630000000576
0.0025207999999992126,-79.3893400,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6208792,node,0.10784000000001015
0.002415299999995568,-79.3891363,[],Coordinates out of range,43.6209847,node,0.10763630000001001
0.0035972999999955846,-79.3863108,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6198027,node,0.10481080000000986
0.004364499999994109,-79.3859400,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6190355,node,0.10444000000001097
0.004265999999994108,-79.3858556,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6191340,node,0.10435560000000521
0.00498649999999401,-79.3846008,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6184135,node,0.1031008000000071
0.004804899999996337,-79.3846438,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6185951,node,0.10314380000001222
0.0046568999999934135,-79.3846847,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6187431,node,0.10318469999999991
0.004661099999999863,-79.3845194,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6187389,node,0.10301940000000798
