<tag> k attributes
FIXME
NHS
abutters
access
accessible
acrancecess
ad_screens
addr:building
addr:city
addr:city:on_receipt
addr:country
addr:district
addr:floor
addr:housename
addr:housenumber
addr:inclusion
addr:interpolation
addr:place
addr:postcode
addr:province
addr:room
addr:state
addr:street
addr:subdistrict
addr:suite
addr:unit
address
admin_level
administrative
advertising
advisory_speed
aerodrome:type
aeroway
air
aka
alcohol
alt_name
alt_name:fr
amenity
approximate
architect
area
arrow
artist_name
artwork
artwork_type
atm
atm:capacity
atm:operator
attribution
authority
automated
automatic
backrest
barrier
baseball:outfield:center
baseball:outfield:corners
baseball:outfield:gap
beauty
bench
bicycle
bicycle_parking
bike_box
bin
blood:plasma
board_type
boat
books
booth
boundary
branch_ref
brand
brewery
bridge
bridge:movable
bridge:structure
bridge_name
building
building:color
building:colour
building:facade:color
building:facade:material
building:flats
building:height
building:levelPlan
building:levels
building:levels:aboveground
building:levels:belowground
building:levels:future
building:levels:underground
building:material
building:min_level
building:part
building:roof
building:roof:colour
building:type
building:use
building_code
built_date
bus
bus:lanes:backward
bus_direction
bus_lanes
button
button_operated
cables
cafe
camera:mount
camera:type
canvec:CODE
canvec:CODE:1580010
canvec:UUID
canvec:generic_code
canvec:value_definition:Control
capacity
capacity:atm
capacity:disabled
capacity:parent
capacity:women
capacity_1
capital
car
car_repair
car_wash
catering
caution
cemetery
centerline
centre_turn_lane
centreline
centreline:color
certified_rental_building
chocolates
church
cinema
cinema:IMAX
circuits
circumference
clothes
club
coinstar
collection_times
college
colour
colour:bonnet
colour:cap
comment
communication:mobile_phone
communication:radio
communication:television
community_safety_zone
condition
condo
coneying
consecrated
construction
contact:email
contact:facebook
contact:fax
contact:instagram
contact:phone
contact:twitter
contact:website
content
conveying
cost:coffee
countdown
countdown_signal
country
courts
covered
craft
created_by
crossing
crossing:barrier
crossing:bell
crossing:light
crossing:lights
crossing_ref
cuisine
currency:CAD
currency:XBT
currency:others
cycleway
cycleway:left
cycleway:right
danger
day_off
day_on
dbh_estimate
dbox
delivery
